Date,Self-Unidentified,State,Township,Crop,Inquiry Type,Inquiry Topic,Source,Product Segment,First Handler Status,Assigned Team,# of Inquirer,# of Inquiry
11/19/2020,Male,Bago (West),Paungde,,Product Info,Pricing,Inquiry Call,Micro-irrigation,Internal,Contact Center Team,1,1
12/15/2020,Male,Ayeyarwady,Mawlamyinegyun,Rice,Crop Protection,P&D diagnosis request,Inquiry Call,Extension Service,Solved,Contact Center Team,1,1
1/11/2021,Male,Bago (East),Kyauktaga,,General Info,Dealer Store Partnerships,Inquiry Call,Micro-irrigation,Internal,Contact Center Team,1,1
11/16/2020,Male,Magway,Yenangyaung,,General Info,Dealer Store Partnerships,Inquiry Call,Micro-irrigation,Solved,Contact Center Team,1,1
1/11/2021,Male,Bago (West),Nattalin,,Purchase Info,Where to Buy,Inquiry Call,Micro-irrigation,Internal,Contact Center Team,1,1
11/19/2020,Female,Magway,Magway,,General Info,Dealer Store Partnerships,Inquiry Call,Micro-irrigation,Internal,Contact Center Team,1,1
1/21/2021,Male,Ayeyarwady,Hinthada,Black gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
1/21/2021,Male,Shan (South),Pinlaung,Chili,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
1/28/2021,Male,Mandalay,Chanayethazan / Chanmyathazi,Chili,Product Info,Pricing,Inquiry Call,Micro-irrigation,Internal,Contact Center Team,1,1
2/10/2021,Male,Bago (East),Kyauktaga,Rice,Crop Protection,P&D diagnosis request,Inquiry Call,Extension Service,Solved,Contact Center Team,1,1
11/19/2020,Female,Yangon,Hmawbi,,General Info,Dealer Store Partnerships,Inquiry Call,Micro-irrigation,Internal,Contact Center Team,1,1
11/19/2020,Male,Yangon,Hlegu,,General Info,Dealer Store Partnerships,Inquiry Call,Micro-irrigation,Internal,Contact Center Team,1,1
3/21/2021,Female,Shan (South),Hopong,Rice,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
11/20/2020,Male,Bago (West),Pyay,,General Info,Dealer Store Partnerships,Inquiry Call,Micro-irrigation,Internal,Contact Center Team,1,1
11/23/2020,Female,Mandalay,Myingyan,,General Info,Dealer Store Partnerships,Inquiry Call,Micro-irrigation,Solved,Contact Center Team,2,2
3/21/2021,Male,Magway,Aunglan,Onion,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
3/21/2021,Male,Magway,Pwintbyu,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
3/21/2021,Male,Magway,Salin,Vegetables other,Farming Practices,Crop Management,Inquiry Call,Extension Service,Solved,Contact Center Team,1,1
11/23/2020,Male,Bago (West),Paungde,,General Info,Dealer Store Partnerships,Inquiry Call,Micro-irrigation,Solved,Contact Center Team,1,1
11/23/2020,Male,Magway,Pakokku,,General Info,Dealer Store Partnerships,Inquiry Call,Micro-irrigation,Solved,Contact Center Team,1,1
8/2/2021,Male,Sagaing,Kale,Tomato,Farming Practices,Crop Management,Inquiry Call,Extension Service,Solved,Contact Center Team,1,1
8/26/2021,Male,Ayeyarwady,Ingapu,Rice,Crop Protection,General Preventions,Inquiry Call,Extension Service,Solved,Contact Center Team,1,1
9/6/2021,Male,Magway,Pakokku,Unknown,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
11/23/2020,Male,Mandalay,Myingyan,,General Info,Dealer Store Partnerships,Inquiry Call,Micro-irrigation,Solved,Contact Center Team,1,1
11/10/2021,Self-Unidentified,,,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
11/10/2021,Female,,,Unknown,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
11/10/2021,Female,,,Green gram,Crop Protection,P&D diagnosis request,Cold Call,Diagnosis Services,Transferred,Crop Advisory Team,1,1
