Crop,Employee ID,Status,Inquiry Type,Inquiry Topic,Product Segment,Date,# of Inquiry,# of Inquirer,Resolution Time (min),Assigned Team,Source,Gender,State,Township
Non Service Crops,40420,Unsolved,Farming Practices,General Preventions,Farming Information,7/20/2022,1,1,29,Contact Center Team,Messenger,Female,Magway,Natmauk
Non Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,7/18/2022,1,1,1,Contact Center Team,Messenger,Female,Mandalay,Wundwin
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,7/20/2022,1,1,20.33,Contact Center Team,Messenger,Female,Magway,Natmauk
Non Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,7/20/2022,1,1,15.67,Contact Center Team,Messenger,Female,Magway,Natmauk
Non Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,7/21/2022,1,1,18,Contact Center Team,Messenger,Female,Ayeyarwady,Bogale
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,7/21/2022,1,1,28.33,Contact Center Team,Messenger,Female,Ayeyarwady,Pantanaw
Green gram,40420,Solved,Farming Practices,General Preventions,Farming Information,7/21/2022,1,1,28.33,Contact Center Team,Messenger,Female,Ayeyarwady,Bogale
Groundnut,40420,Solved,Farming Practices,General Preventions,Farming Information,7/21/2022,1,1,3.67,Contact Center Team,Messenger,Female,Ayeyarwady,Bogale
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,7/21/2022,1,1,39,Contact Center Team,Messenger,Female,Ayeyarwady,Bogale
Non Service Crops,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,7/22/2022,1,1,26.67,Contact Center Team,Messenger,Female,Ayeyarwady,Wakema
Non Service Crops,40420,Solved,General Info,Other,Non Product & Service Inquiry,8/4/2022,1,1,32,Contact Center Team,Messenger,Male,Bago (West),Minhla
Service Crops,40420,Solved,Farming Practices,General Preventions,Farming Information,8/5/2022,1,1,17.33,Contact Center Team,Messenger,Female,Ayeyarwady,Pathein
Non Service Crops,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/5/2022,1,1,16.5,Contact Center Team,Messenger,Female,Ayeyarwady,Kyangin
Rice,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/8/2022,1,1,25.33,Contact Center Team,Messenger,Female,Bago (East),Waw
Non Service Crops,40420,Solved,Crop Protection,P&D diagnosis request,Farming Information,8/9/2022,1,1,36,Contact Center Team,Messenger,Female,Ayeyarwady,Hinthada
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,8/9/2022,1,1,39,Contact Center Team,Messenger,Female,Shan (South),Taunggyi
Chili,40420,Solved,Farming Practices,General Preventions,Farming Information,8/9/2022,1,1,34,Contact Center Team,Messenger,Female,Shan (South),Taunggyi
Rice,40420,Solved,Farming Practices,General Preventions,Farming Information,8/9/2022,1,1,35.67,Contact Center Team,Messenger,Female,Shan (South),Taunggyi
Groundnut,40420,Solved,Farming Practices,General Preventions,Farming Information,8/9/2022,1,1,37,Contact Center Team,Messenger,Female,Shan (South),Taunggyi
Groundnut,40420,Solved,Farming Practices,General Preventions,Farming Information,8/12/2022,1,1,23.67,Contact Center Team,Messenger,Female,Shan (South),Meiktila
